"Date(UTC)","Pair","Side","Price","Executed","Amount","Fee"
"2023-09-20 14:52:26","ETHBTC","BUY","0.0600000000","0.0020000000ETH","0.00012000BTC","0.0000020000ETH"
"2023-03-10 12:43:50","ALCXUSDT","SELL","18.8600000000","7.1147000000ALCX","134.18324200USDT","0.0003745200BNB"
"2023-03-10 12:43:38","ALCXUSDT","BUY","18.8500000000","7.1147000000ALCX","134.11209500USDT","0.0003748300BNB"
"2023-03-10 12:42:21","ALCXUSDT","SELL","18.8200000000","3.2967000000ALCX","62.04389400USDT","0.0001731000BNB"
"2023-03-10 12:42:21","ALCXUSDT","SELL","18.8200000000","2.0155000000ALCX","37.93171000USDT","0.0001058300BNB"
"2023-03-10 12:42:21","ALCXUSDT","SELL","18.8200000000","1.8138000000ALCX","34.13571600USDT","0.0000952400BNB"
"2023-03-10 12:42:07","ALCXUSDT","BUY","18.8500000000","0.1801000000ALCX","3.39488500USDT","0.0000094800BNB"
"2023-03-10 12:42:07","ALCXUSDT","BUY","18.8500000000","0.7842000000ALCX","14.78217000USDT","0.0000413100BNB"
"2023-03-10 12:42:07","ALCXUSDT","BUY","18.8500000000","5.3775000000ALCX","101.36587500USDT","0.0002833200BNB"
"2023-03-10 12:42:07","ALCXUSDT","BUY","18.8500000000","0.7842000000ALCX","14.78217000USDT","0.0000413100BNB"
"2023-03-10 12:41:41","ALCXUSDT","SELL","18.8300000000","7.1336000000ALCX","134.32568800USDT","0.0003747900BNB"
"2023-03-10 12:41:19","ALCXUSDT","BUY","18.8700000000","0.8960000000ALCX","16.90752000USDT","0.0000472000BNB"
"2023-03-10 12:41:19","ALCXUSDT","BUY","18.8700000000","0.8480000000ALCX","16.00176000USDT","0.0000446700BNB"
"2023-03-10 12:41:19","ALCXUSDT","BUY","18.8700000000","0.3016000000ALCX","5.69119200USDT","0.0000158800BNB"
"2023-03-10 12:41:19","ALCXUSDT","BUY","18.8700000000","0.8480000000ALCX","16.00176000USDT","0.0000446700BNB"
"2023-03-10 12:41:19","ALCXUSDT","BUY","18.8700000000","0.8480000000ALCX","16.00176000USDT","0.0000446700BNB"
"2023-03-10 12:41:19","ALCXUSDT","BUY","18.8700000000","0.8480000000ALCX","16.00176000USDT","0.0000446700BNB"
"2023-03-10 12:41:19","ALCXUSDT","BUY","18.8700000000","0.8480000000ALCX","16.00176000USDT","0.0000446700BNB"
"2023-03-10 12:41:19","ALCXUSDT","BUY","18.8700000000","0.8480000000ALCX","16.00176000USDT","0.0000446700BNB"
"2023-03-10 12:41:19","ALCXUSDT","BUY","18.8700000000","0.8480000000ALCX","16.00176000USDT","0.0000446700BNB"
"2023-02-28 17:42:59","EGLDUSDT","SELL","50.2900000000","0.3200000000EGLD","16.09280000USDT","0.0000397200BNB"
"2023-02-28 17:42:49","EGLDUSDT","BUY","50.3100000000","0.2300000000EGLD","11.57130000USDT","0.0000285400BNB"
"2023-02-28 17:42:22","EGLDUSDT","SELL","50.3000000000","2.8200000000EGLD","141.84600000USDT","0.0003501700BNB"
"2023-02-28 17:42:14","EGLDUSDT","BUY","50.3100000000","2.9100000000EGLD","146.40210000USDT","0.0003612000BNB"
"2023-02-28 17:42:06","EGLDUSDT","SELL","50.2900000000","2.9100000000EGLD","146.34390000USDT","0.0003612800BNB"
"2023-02-28 17:41:58","EGLDUSDT","BUY","50.3000000000","2.2700000000EGLD","114.18100000USDT","0.0002817600BNB"
"2023-02-28 17:41:58","EGLDUSDT","BUY","50.3000000000","0.6400000000EGLD","32.19200000USDT","0.0000794400BNB"
"2023-02-14 17:47:11","BUSDUSDT","SELL","0.9997000000","27.0000000000BUSD","26.99190000USDT","0.0000000000BNB"
"2023-01-22 12:20:37","XLMBTC","SELL","0.0000040000","56.0000000000XLM","0.00022400BTC","0.0000002200BTC"
"2023-01-14 03:44:25","FETBUSD","SELL","0.2502000000","106.0000000000FET","26.52120000BUSD","0.0265212000BUSD"
"2023-01-01 15:28:11","XLMUSDT","SELL","0.0718000000","234.0000000000XLM","16.80120000USDT","0.0168012000USDT"
"2023-01-01 11:56:45","XLMUSDT","SELL","0.0717000000","233.0000000000XLM","16.70610000USDT","0.0167061000USDT"
