"Date(UTC)","Pair","Side","Price","Executed","Amount","Fee"
"2021-03-22 06:25:54","PIVXBTC","BUY","0.0000214500","9.0000000000PIVX","0.00019305BTC","0.0000314400BNB"
"2021-03-22 05:05:14","OCEANUSDT","BUY","1.6720000000","8.2200000000OCEAN","13.74384000USDT","0.0000385800BNB"
"2021-03-21 15:30:44","EVXBTC","SELL","0.0000190000","19.0000000000EVX","0.00036100BTC","0.0000587700BNB"
"2021-03-21 09:41:39","SXPUSDT","BUY","3.7000000000","2.7560000000SXP","10.19720000USDT","0.0000292100BNB"
"2021-03-18 18:58:32","GVTBTC","BUY","0.0001228000","1.2400000000GVT","0.00015227BTC","0.0000256700BNB"
"2021-03-18 06:53:01","SUSHIBTC","BUY","0.0003421000","0.4400000000SUSHI","0.00015052BTC","0.0000242100BNB"
"2021-03-18 06:49:43","EASYBTC","BUY","0.0003942000","0.2700000000EASY","0.00010643BTC","0.0000171600BNB"
"2021-03-17 18:27:00","ADAUSDT","BUY","1.2509200000","19.9000000000ADA","24.89330800USDT","0.0000716600BNB"
"2021-03-17 18:25:20","BTCUSDT","SELL","56813.2100000000","0.0004400000BTC","24.99781240USDT","0.0000719300BNB"
"2021-03-17 17:02:52","KNCBTC","SELL","0.0000500000","4.0000000000KNC","0.00020000BTC","0.0000326400BNB"
"2021-03-17 16:59:53","VIABTC","SELL","0.0000170000","18.0000000000VIA","0.00030600BTC","0.0000506700BNB"
"2021-03-17 09:46:22","DODOUSDT","BUY","4.0000000000","3.3400000000DODO","13.36000000USDT","0.0000401200BNB"
"2021-03-16 15:17:48","AXSUSDT","BUY","5.8500000000","2.2000000000AXS","12.87000000USDT","0.0000377700BNB"
"2021-03-16 13:33:17","WABIBTC","BUY","0.0000074600","26.0000000000WABI","0.00019396BTC","0.0000321200BNB"
"2021-03-16 13:15:59","BTCBUSD","BUY","55270.0600000000","0.0002010000BTC","11.10928206BUSD","0.0000325500BNB"
"2021-03-16 09:47:29","BIFIBUSD","SELL","3600.0000000000","0.0030900000BIFI","11.12400000BUSD","0.0000000000BNB"
"2021-03-16 09:11:54","BIFIBUSD","BUY","4100.0100000000","0.0030900000BIFI","12.66903090BUSD","0.0000384600BNB"
"2021-03-16 09:10:13","BIFIBUSD","SELL","4370.6000000000","0.0027600000BIFI","12.06285600BUSD","0.0000350900BNB"
"2021-03-16 09:08:29","BIFIBUSD","BUY","4020.4400000000","0.0027600000BIFI","11.09641440BUSD","0.0000343500BNB"
"2021-03-16 09:06:13","BIFIBUSD","SELL","4238.3200000000","0.0027600000BIFI","11.69776320BUSD","0.0000340500BNB"
"2021-03-16 09:03:59","BIFIBUSD","BUY","4027.5400000000","0.0024800000BIFI","9.98829920BUSD","0.0000096500BNB"
"2021-03-16 09:03:59","BIFIBUSD","BUY","4029.1300000000","0.0002800000BIFI","1.12815640BUSD","0.0000010800BNB"
"2021-03-16 09:02:41","BIFIBUSD","SELL","3614.0800000000","0.0030700000BIFI","11.09522560BUSD","0.0000322500BNB"
"2021-03-16 09:02:20","BIFIBUSD","BUY","3481.4800000000","0.0030700000BIFI","10.68814360BUSD","0.0000119400BNB"
"2021-03-16 06:16:51","BTCBUSD","SELL","54003.4300000000","0.0001990000BTC","10.74668257BUSD","0.0000330500BNB"
"2021-03-16 06:02:14","PHABTC","BUY","0.0000175700","11.0000000000PHA","0.00019327BTC","0.0000317700BNB"
"2021-03-15 22:02:06","ATOMUSDT","SELL","20.7200000000","0.7610000000ATOM","15.76792000USDT","0.0000458200BNB"
"2021-03-15 21:13:19","OAXBTC","SELL","0.0000065000","22.0000000000OAX","0.00014300BTC","0.0000231300BNB"
"2021-03-15 18:54:44","WABIBTC","SELL","0.0000073500","25.0000000000WABI","0.00018375BTC","0.0000294700BNB"
"2021-03-15 16:03:18","REQBTC","SELL","0.0000023000","36.0000000000REQ","0.00008280BTC","0.0000132000BNB"
"2021-03-15 16:03:16","REQBTC","SELL","0.0000023000","61.0000000000REQ","0.00014030BTC","0.0000231000BNB"
"2021-03-15 14:50:05","EASYBTC","BUY","0.0004264000","0.4400000000EASY","0.00018762BTC","0.0000310000BNB"
"2021-03-15 11:37:32","1INCHUSDT","SELL","4.3000000000","2.80000000001INCH","12.04000000USDT","0.0000351200BNB"
"2021-03-15 10:08:40","REEFBTC","SELL","9.300E-7","290.0000000000REEF","0.00026970BTC","0.0000445400BNB"
