Filled Time (Local Time),Spot Pairs,Order Type,Direction,Filled Value,Filled Price,Filled Quantity,Fees,Transaction ID,Order No.,Timestamp (UTC)
2023-10-17 13:51:15,MATIC/USDT,MARKET,SELL,1.058400000000000000 USDT,0.529200000000000000 USDT,2.000000000000000000 MATIC,0.001058400000000000 USDT,95673856,20179712,2023-10-17 08:21:15
2023-10-17 13:46:54,MATIC/USDT,MARKET,SELL,1.058800000000000000 USDT,0.529400000000000000 USDT,2.000000000000000000 MATIC,0.001058800000000000 USDT,04764416,20881664,2023-10-17 08:16:54
2023-10-17 10:59:03,MATIC/USDT,LIMIT,SELL,1.060000000000000000 USDT,0.530000000000000000 USDT,2.000000000000000000 MATIC,0.001060000000000000 USDT,84057856,08419584,2023-10-17 05:29:03
2023-09-21 15:34:49,MATIC/USDT,LIMIT,BUY,9.968106000000000000 USDT,0.532200000000000000 USDT,18.730000000000000000 MATIC,0.018730000000000000 MATIC,03939328,11649280,2023-09-21 10:04:49
2023-07-20 22:14:52,DOT/USDT,LIMIT,BUY,11.038143000000000000 USDT,5.289000000000000000 USDT,2.087000000000000000 DOT,0.002087000000000000 DOT,13108736,29217024,2023-07-20 16:44:52
2023-07-05 15:10:22,BIT/USDT,LIMIT,SELL,30.394000000000000000 USDT,0.467600000000000000 USDT,65.000000000000000000 BIT,0.030394000000000000 USDT,30420480,29803008,2023-07-05 09:40:22
2023-07-02 21:04:04,BIT/USDT,LIMIT,BUY,6.574500000000000000 USDT,0.438300000000000000 USDT,15.000000000000000000 BIT,0.015000000000000000 BIT,47640576,63686144,2023-07-02 15:34:04
2023-07-02 20:58:01,BIT/USDT,LIMIT,BUY,22.008315000000000000 USDT,0.438500000000000000 USDT,50.190000000000000000 BIT,0.050190000000000000 BIT,12473088,11779584,2023-07-02 15:28:01
2023-07-02 07:52:58,LINK/USDT,LIMIT,BUY,7.04253000000000 USDT,6.402300000000000000 USDT,1.100000000000000000 LINK,0.00110000000000 LINK,98308608,22937344,2023-07-02 02:22:58
2023-07-02 07:52:31,UNI/USDT,LIMIT,BUY,5.49590000000000 USDT,5.495900000000000000 USDT,1.000000000000000000 UNI,0.00100000000000 UNI,11268608,94922240,2023-07-02 02:22:31
