"Date(UTC)","Pair","Side","Price","Executed","Amount","Fee"
"2021-12-27 15:44:43","NEARUSDT","BUY","15.4270000000","6.6000000000NEAR","101.81820000USDT","0.0066000000NEAR"
"2021-12-27 15:44:38","NEARUSDT","SELL","15.4250000000","5.4000000000NEAR","83.29500000USDT","0.0832950000USDT"
"2021-12-27 15:44:38","NEARUSDT","SELL","15.4250000000","1.2000000000NEAR","18.51000000USDT","0.0185100000USDT"
"2021-12-27 15:44:34","NEARUSDT","BUY","15.4290000000","6.6000000000NEAR","101.83140000USDT","0.0001373000BNB"
"2021-12-27 15:44:27","NEARUSDT","SELL","15.4330000000","5.4000000000NEAR","83.33820000USDT","0.0001123300BNB"
"2021-12-27 15:44:27","NEARUSDT","SELL","15.4330000000","1.2000000000NEAR","18.51960000USDT","0.0000249600BNB"
"2021-12-27 15:44:22","NEARUSDT","BUY","15.4330000000","3.6000000000NEAR","55.55880000USDT","0.0000748800BNB"
"2021-12-27 15:44:22","NEARUSDT","BUY","15.4330000000","3.0000000000NEAR","46.29900000USDT","0.0000624000BNB"
"2021-12-27 15:44:14","NEARUSDT","SELL","15.4370000000","1.2000000000NEAR","18.52440000USDT","0.0000249600BNB"
"2021-12-27 15:44:14","NEARUSDT","SELL","15.4350000000","5.3000000000NEAR","81.80550000USDT","0.0001102600BNB"
"2021-12-27 15:44:07","NEARUSDT","BUY","15.4320000000","6.5000000000NEAR","100.30800000USDT","0.0001352100BNB"
"2021-12-07 15:40:31","XLMBNB","SELL","0.0004926000","554.0000000000XLM","0.27290040BNB","0.0002046700BNB"
"2021-12-07 14:52:22","XLMUSDT","BUY","0.2881000000","555.0000000000XLM","159.89550000USDT","0.5550000000XLM"
"2021-07-17 08:42:33","BNBUSDT","SELL","304.0000000000","0.0357000000BNB","10.85280000USDT","0.0000267600BNB"
"2021-07-14 01:28:32","REEFBTC","BUY","4.300E-7","385.0000000000REEF","0.00016555BTC","0.3850000000REEF"
